"","GD.AT.Open","GD.AT.High","GD.AT.Low","GD.AT.Close","GD.AT.Volume","GD.AT.Adjusted"
"2022-01-28",932.010009765625,934.830017089844,918.190002441406,924.419982910156,29828000,924.419982910156
"2022-01-31",933.320007324219,939.950012207031,933.080017089844,936.77001953125,38373500,936.77001953125
"2022-02-01",940.390014648438,949.700012207031,940.390014648438,947.880004882812,38257900,947.880004882812
"2022-02-02",949.570007324219,955.830017089844,949.570007324219,954.719970703125,23237000,954.719970703125
"2022-02-03",953.609985351562,954.609985351562,945.239990234375,946.130004882812,21209800,946.130004882812
"2022-02-04",947.539978027344,951.440002441406,940.799987792969,945,28371300,945
"2022-02-07",946,947.309997558594,938.090026855469,938.090026855469,30648900,938.090026855469
"2022-02-08",939.190002441406,942.369995117188,931.969970703125,942.059997558594,47608200,942.059997558594
"2022-02-09",953.390014648438,960.739990234375,950.299987792969,960.320007324219,51116000,960.320007324219
"2022-02-10",962.369995117188,967.780029296875,957.950012207031,964.049987792969,41149600,964.049987792969
"2022-02-11",961.849975585938,971.190002441406,955.960021972656,971.090026855469,53785500,971.090026855469
"2022-02-14",959.669982910156,959.669982910156,935.849975585938,950.700012207031,45265400,950.700012207031
"2022-02-15",953.309997558594,965.549987792969,953.309997558594,961.849975585938,29507000,961.849975585938
"2022-02-16",968.440002441406,973.27001953125,960.549987792969,963.599975585938,39583600,963.599975585938
"2022-02-17",963.159973144531,963.52001953125,953.679992675781,955.369995117188,18316300,955.369995117188
"2022-02-18",954.359985351562,959.130004882812,950.840026855469,955.929992675781,17087400,955.929992675781
"2022-02-21",959.030029296875,964.330017089844,946.450012207031,949.260009765625,19704900,949.260009765625
"2022-02-22",936.47998046875,946.200012207031,929.080017089844,944.179992675781,28107700,944.179992675781
"2022-02-23",944.710021972656,952.330017089844,943.719970703125,949.219970703125,19716100,949.219970703125
"2022-02-24",940.109985351562,940.109985351562,882.77001953125,888.309997558594,62533800,888.309997558594
"2022-02-25",897.179992675781,930.190002441406,897.179992675781,927.25,48850000,927.25
"2022-02-28",918.580017089844,918.580017089844,878.080017089844,891.580017089844,75163000,891.580017089844
"2022-03-01",889.719970703125,890.099975585938,859.210021972656,866.47998046875,48668900,866.47998046875
"2022-03-02",860.580017089844,862.140014648438,833.559997558594,852.099975585938,84851500,852.099975585938
"2022-03-03",856.679992675781,862.799987792969,849.570007324219,854.619995117188,35497700,854.619995117188
"2022-03-04",846.52001953125,846.52001953125,815.960021972656,821.739990234375,46347800,821.739990234375
"2022-03-08",814.950012207031,814.950012207031,788.830017089844,789.659973144531,75513700,789.659973144531
"2022-03-09",797.969970703125,827.109985351562,797.969970703125,822.969970703125,47063300,822.969970703125
"2022-03-10",825.22998046875,828.789978027344,802.289978027344,803.469970703125,50583900,803.469970703125
"2022-03-11",807.150024414062,836.859985351562,806.549987792969,827.960021972656,53586800,827.960021972656
"2022-03-14",832.340026855469,849.789978027344,829.989990234375,830.02001953125,31688200,830.02001953125
"2022-03-15",826.200012207031,831.940002441406,814.77001953125,825.159973144531,26663900,825.159973144531
"2022-03-16",831.349975585938,872.320007324219,831.349975585938,871.989990234375,45444200,871.989990234375
"2022-03-17",878.280029296875,878.820007324219,855.320007324219,862.090026855469,50676200,862.090026855469
"2022-03-18",862.789978027344,863.700012207031,852.650024414062,862.859985351562,40749000,862.859985351562
"2022-03-21",867.030029296875,870.210021972656,854.900024414062,859.320007324219,15900500,859.320007324219
"2022-03-22",864.150024414062,867.539978027344,859.590026855469,867.539978027344,15474600,867.539978027344
"2022-03-23",869.409973144531,873.340026855469,848.27001953125,854.880004882812,17695200,854.880004882812
"2022-03-24",859.179992675781,859.869995117188,843.109985351562,843.109985351562,17645000,843.109985351562
"2022-03-28",847.969970703125,864.950012207031,847.969970703125,861.97998046875,23125500,861.97998046875
"2022-03-29",868.119995117188,893.059997558594,868.119995117188,889.969970703125,37557300,889.969970703125
"2022-03-30",886.030029296875,891.739990234375,877.580017089844,884.700012207031,21384500,884.700012207031
"2022-03-31",888.440002441406,893.090026855469,879.450012207031,879.450012207031,23111200,879.450012207031
"2022-04-01",878.049987792969,890.700012207031,878.049987792969,890.700012207031,14108900,890.700012207031
"2022-04-04",888.5,895.309997558594,886.380004882812,893.469970703125,15193100,893.469970703125
"2022-04-05",895.830017089844,901.289978027344,890.559997558594,892.679992675781,21811000,892.679992675781
"2022-04-06",890.179992675781,891.799987792969,882.739990234375,884.200012207031,21893700,884.200012207031
"2022-04-07",886.830017089844,894.200012207031,885.659973144531,890.849975585938,16084800,890.849975585938
"2022-04-08",894.630004882812,908.349975585938,894.630004882812,906.260009765625,25464500,906.260009765625
"2022-04-11",907.719970703125,917.890014648438,904.690002441406,917.52001953125,22515400,917.52001953125
"2022-04-12",907.760009765625,923.659973144531,906.869995117188,921.369995117188,30383100,921.369995117188
"2022-04-13",920.409973144531,927.989990234375,919.549987792969,924.200012207031,18177900,924.200012207031
"2022-04-14",925.210021972656,928.119995117188,918.150024414062,918.960021972656,20563900,918.960021972656
"2022-04-19",921,927.940002441406,916.320007324219,926.409973144531,22336600,926.409973144531
